Date,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
3/1/2022,773.6625,763.8875,755.2625,756.4125,765.9,764.4625,732.2625,731.4,730.825,781.7125,772.225,752.1,503.4125,100.625,104.9375,170.4875,695.75,642.275,644.575,679.9375,733.7,758.425,793.7875,855.6
3/2/2022,891.5375,883.775,835.7625,801.2625,288.075,84.2375,411.125,722.775,821.9625,784.3,813.9125,813.625,769.0625,835.475,777.975,398.475,108.675,33.0625,236.6125,727.6625,739.45,707.825,751.8125,702.9375
3/3/2022,659.525,678.5,679.075,670.1625,683.675,701.5,693.7375,696.9,736.575,718.175,754.1125,775.675,742.325,750.6625,734.5625,752.1,784.0125,780.85,800.1125,319.7,165.025,147.4875,747.7875,804.7125
3/4/2022,813.625,714.4375,137.7125,131.9625,408.825,787.175,771.65,806.15,791.775,905.9125,934.95,861.35,779.125,783.725,852.725,836.625,795.5125,783.15,776.825,802.4125,792.0625,798.3875,786.3125,771.65
3/5/2022,769.6375,769.6375,771.075,760.15,745.775,758.425,748.3625,761.0125,679.3625,694.025,744.625,810.175,755.55,772.8,840.65,813.05,767.3375,454.825,548.2625,745.775,738.0125,792.6375,788.0375,771.075
3/6/2022,770.7875,730.25,727.375,717.3125,738.875,743.1875,715.875,517.5,100.3375,84.8125,758.425,838.6375,870.2625,886.65,843.2375,810.4625,802.125,792.35,798.675,806.15,796.95,809.6,786.6,770.7875
3/7/2022,755.8375,776.825,702.075,701.5,710.4125,750.95,741.75,771.3625,712.1375,704.6625,743.475,224.25,173.65,233.45,796.0875,777.975,768.2,748.9375,768.2,717.025,759.575,743.1875,725.3625,720.1875
3/8/2022,698.9125,690.575,645.4375,625.6,629.625,690,705.2375,691.15,650.6125,703.225,739.45,725.3625,720.475,724.7875,722.4875,721.625,710.4125,690.2875,709.55,733.7,715.0125,718.175,753.25,756.4125
3/9/2022,696.9,711.85,760.15,628.1875,655.7875,721.3375,653.775,664.9875,715.5875,698.05,747.2125,768.775,749.5125,760.4375,669.0125,141.45,118.1625,93.725,506.575,724.5,725.9375,736.2875,728.8125,702.3625
3/10/2022,697.1875,648.8875,647.1625,650.0375,679.075,695.75,686.2625,687.125,669.3,681.6625,682.8125,667.575,654.6375,650.9,649.175,689.7125,678.5,687.7,575.8625,65.55,63.5375,503.9875,687.125,690
3/11/2022,673.6125,691.4375,658.95,652.9125,698.05,303.025,60.6625,85.1,568.9625,699.775,719.9,720.1875,686.2625,713.2875,733.125,625.025,19.55,206.425,583.9125,597.425,638.25,644.2875,642.5625,676.4875
3/12/2022,691.15,687.9875,652.625,616.4,661.25,674.7625,658.95,680.8,685.975,625.6,558.325,580.75,597.7125,601.45,617.8375,641.7,751.8125,720.475,724.7875,726.8,731.4,711.85,673.6125,693.1625
3/13/2022,643.7125,636.8125,641.4125,642.5625,675.9125,716.7375,679.075,659.8125,704.95,697.7625,697.7625,690.2875,687.4125,677.35,706.9625,669.0125,663.55,693.7375,693.1625,696.9,666.7125,704.6625,699.775,692.875
3/14/2022,651.1875,651.1875,646.5875,640.55,727.6625,659.525,649.75,658.375,672.175,706.675,699.2,707.825,706.675,723.6375,746.35,722.2,710.9875,711.5625,717.8875,714.4375,721.625,730.825,718.4625,669.5875
3/15/2022,651.7625,646.0125,650.6125,649.75,689.7125,666.425,654.6375,708.1125,676.775,558.6125,671.8875,656.65,711.85,714.725,767.9125,758.1375,727.0875,710.125,693.45,721.05,725.9375,720.7625,712.425,710.7
3/16/2022,690.8625,668.15,656.9375,661.825,706.1,696.325,674.1875,719.325,684.825,717.8875,702.65,700.35,714.4375,748.9375,760.725,701.7875,284.05,698.625,708.975,719.6125,722.2,716.1625,705.2375,683.9625
3/17/2022,692.5875,684.25,660.1,677.6375,675.3375,681.375,701.5,682.525,710.4125,744.625,742.325,749.225,710.4125,762.1625,816.7875,817.65,776.5375,772.5125,743.7625,702.075,662.975,653.2,635.0875,619.85
3/18/2022,604.0375,609.5,610.075,605.7625,631.35,652.9125,594.8375,619.85,632.2125,616.1125,702.65,712.425,710.4125,707.25,737.4375,694.8875,730.825,745.4875,735.425,733.4125,737.4375,753.825,732.2625,729.9625
3/19/2022,727.95,722.4875,715.0125,697.1875,714.725,721.05,683.9625,698.625,705.525,728.8125,729.9625,797.8125,799.25,781.7125,237.7625,2.5875,0,17.825,587.9375,613.2375,666.425,677.0625,664.4125,672.75
